8.1810 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000290A0ACA400>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000290A0ACA3A0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000290A0ACA1F0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000290A0E69EE0>, multiSample=False, name='window1', numSamples=2, pos=(1920, 4), screen=1, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.1810 	EXP 	window1: mouseVisible = True
8.1810 	EXP 	window1: backgroundImage = ''
8.1810 	EXP 	window1: backgroundFit = 'none'
8.1819 	EXP 	window1: Attempting to measure frame rate of screen (1) ...
8.1819 	EXP 	window1: recordFrameIntervals = False
8.3473 	EXP 	window1: recordFrameIntervals = True
8.5311 	EXP 	Screen (1) actual frame rate measured at 59.97Hz
8.5311 	EXP 	window1: recordFrameIntervals = False
8.5311 	EXP 	window1: mouseVisible = False
9.4794 	EXP 	stroopv1: status = STARTED
9.4796 	EXP 	window1: mouseVisible = True
9.5133 	EXP 	Created instrText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instrText', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.5134 	EXP 	window1: mouseVisible = True
